"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774446834427281633","Sun Mar 31 14:41:07 +0000 2024","16","Mata pelajaran 271 trilliun ? mari kita budayakan rasa malu terhadap korupsi.. Miskinkan para koruptor di indonesia Hukum mati para koruptor Tidak boleh ada remisi untuk para koruptor afni_nidang https://t.co/HQVMPmheAV","1774446834427281633","https://pbs.twimg.com/ext_tw_video_thumb/1774446740114161665/pu/img/6I2uD5Eeq0hXH75_.jpg","","in","indonesia","0","1","4","https://x.com/Ilhamtob/status/1774446834427281633","1688573026957443072","Ilhamtob"
"1774438660949348527","Sun Mar 31 14:39:29 +0000 2024","0","@soodaam_ Bener banget.. mending english atau indonesia aja gtu.. Jangan ngecosplay","1774446423951741137","","soodaam_","in","DKI Jakarta, Indonesia","0","1","0","https://x.com/Mikochan_23/status/1774446423951741137","1648292602574413824","Mikochan_23"
"1774446421166674140","Sun Mar 31 14:39:29 +0000 2024","0","@ dyandra bole ga dc nya jgn batik bukan ga cinta Indonesia tpi sesek gua pake rok lilit","1774446421166674140","","","in","","0","1","0","https://x.com/berliachannn/status/1774446421166674140","1102936838136709120","berliachannn"
"1774400595421811139","Sun Mar 31 14:39:26 +0000 2024","0","@msaid_didu Negara para Mafia berkuasa..hancur2 negeri Indonesia dipimpin Mukidi","1774446412253782443","","msaid_didu","in","","0","0","0","https://x.com/Ago94821891/status/1774446412253782443","1408066260395446278","Ago94821891"
"1774446407581397153","Sun Mar 31 14:39:25 +0000 2024","77","Sudah waktunya Liverpool rematch lawan MU gak sich? #Blibli @bliblidotcom","1774446407581397153","","","in","","2","28","0","https://x.com/idextratime/status/1774446407581397153","1222927522033094656","idextratime"
"1774441621452718340","Sun Mar 31 14:39:18 +0000 2024","0","@Jhope_Indonesia Nyampe siniii TEAM OPOR #IndomyBattleStreaming #JHOPE #제이홉 #홉온스 #HOPE_ON_THE_STREET_VOL_1 https://t.co/0m8BG2coxI","1774446375423680674","https://pbs.twimg.com/media/GKAZkVOacAAXSQS.jpg","Jhope_Indonesia","in","𝘼𝙧𝙢𝙮 𝙊𝙣𝙡𝙮","0","0","0","https://x.com/hourlyoongl/status/1774446375423680674","832279984160989184","hourlyoongl"
"1774443425720611127","Sun Mar 31 14:39:17 +0000 2024","0","@bwlckswan semangatt tabungan abis buat lc jingliu tp tetap nguli","1774446371283841077","","bwlckswan","in","","0","1","0","https://x.com/corporealdusk/status/1774446371283841077","1592832449649999873","corporealdusk"
"1774446363864092962","Sun Mar 31 14:39:15 +0000 2024","3","somehow kalian BENCI banget gasih sama sdm indonesia di sosial media aneh banget naudzubillah astaghfirullah","1774446363864092962","","","in","","0","2","0","https://x.com/badgalriwi/status/1774446363864092962","858869139057680384","badgalriwi"
"1774208366581334365","Sun Mar 31 14:39:10 +0000 2024","0","@B16Winer02 Mendewakan Abah.. akhirnya Abah nyungsep juga...Abah cuma manusia biasa ajalah...Abah jg bisa korupsi korupsi sdh menggurita di Indonesia.Pake Teriak 02 curang Pemilu di ulang Hak angket dsb..huh lelah bestieee...","1774446344691994992","","g4b0ng0ku73","in","","0","0","0","https://x.com/LiaVeny96934/status/1774446344691994992","1745418177142808576","LiaVeny96934"
"1774446295413096526","Sun Mar 31 14:38:59 +0000 2024","0","Kampret indonesia mah tol naek na edan tapi kualitas jalan siga di pedalaman.","1774446295413096526","","","in","Manchester, England","0","0","0","https://x.com/fadileee/status/1774446295413096526","197723999","fadileee"
"1774317116344390037","Sun Mar 31 14:37:48 +0000 2024","0","@5teV3n_Pe9eL Di tunggu cabangnya di indonesia","1774446000649949586","","V3g3L","in","US: -8.358296,116.149594","0","0","0","https://x.com/Awenk_bukar/status/1774446000649949586","365469779","Awenk_bukar"
"1774445970039955715","Sun Mar 31 14:37:41 +0000 2024","1","Profil Calvin Verdonk Pemain Keturunan yang Sedang Diproses untuk Bela Timnas Indonesia https://t.co/Ijz177Dmje","1774445970039955715","","","in","Nusantara","0","0","0","https://x.com/BolaNusantaraID/status/1774445970039955715","846678217419243520","BolaNusantaraID"
"1774354118842388806","Sun Mar 31 14:37:38 +0000 2024","0","@nabulganteng Orang Indonesia itu. Au. Dia ga sadar kali kalo itu freak.","1774445956173590970","","nabulganteng","in","Indonesia","0","1","0","https://x.com/NotLofigirll/status/1774445956173590970","1075941328989515777","NotLofigirll"
"1774436683922178227","Sun Mar 31 14:37:37 +0000 2024","0","@univ_indonesia Min.. jahitan almet sekarang udh bagus blm? Yg 2013 asa cuma diobras ","1774445955213140343","","univ_indonesia","in","","0","0","0","https://x.com/PurryankaChppra/status/1774445955213140343","294514347","PurryankaChppra"
"1774431146887303543","Sun Mar 31 14:37:29 +0000 2024","2","@nv_chrome @hharisu_ @jokowi @sandiuno Belum lama ini saya sempat diskusi mengenai riset industri untuk komik dgn kementrian. Salah satu simpulan baruny adalah program riset sekarang terpusat di @brin_indonesia apakah ada teman2 yang menjadi bagian peneliti sosio-ekonomi-budaya di brin?","1774445918861054362","","nv_chrome","in","ÜT: -6.298036,106.841224","1","1","0","https://x.com/mosmarth/status/1774445918861054362","36053518","mosmarth"
"1774445897465958614","Sun Mar 31 14:37:24 +0000 2024","1","Flekken emang pantas jadi nomor 1 di Brentford. Save-nya bagus passing-nya bagus ","1774445897465958614","","","in","","1","0","0","https://x.com/brentfordID/status/1774445897465958614","1169800404575539201","brentfordID"
"1774445882030911911","Sun Mar 31 14:37:20 +0000 2024","1","Coba di indonesia bisa seperti ini ya","1774445882030911911","","","in","","0","0","0","https://x.com/HMTata3/status/1774445882030911911","1357909543099928576","HMTata3"
"1774436683922178227","Sun Mar 31 14:37:20 +0000 2024","0","@univ_indonesia @onyour_eye biru Maghrib gak sihhhhhhhhhh","1774445881267486880","","univ_indonesia","in","rumah","0","1","0","https://x.com/maxwell_photon/status/1774445881267486880","1621661923015270400","maxwell_photon"
"1774445873344455145","Sun Mar 31 14:37:18 +0000 2024","0","maju indonesia emas","1774445873344455145","","","in","Depok, Jawa Barat","0","0","0","https://x.com/suckthisday/status/1774445873344455145","1119970831822540801","suckthisday"
"1774443279289037203","Sun Mar 31 14:37:15 +0000 2024","21","@PuteraKonoha Masih sangat jauh dari harapan Indonesia bersih dari koropsi","1774445858899296527","","ChainsawSimple","in","","0","2","0","https://x.com/PUTRY_NUSANTARA/status/1774445858899296527","1572608169100316672","PUTRY_NUSANTARA"
"1774445849155928169","Sun Mar 31 14:37:12 +0000 2024","0","Orkestra Musik One Piece akan Diadakan di Indonesia Kapan? https://t.co/NtGGKRLFAh #TempoSeleb","1774445849155928169","","","in","Indonesia","0","0","0","https://x.com/tempodotco/status/1774445849155928169","18129942","tempodotco"
"1774445836338139434","Sun Mar 31 14:37:09 +0000 2024","0","wkwkw indonesia indonesia. ora sumbut ambek ukuran negorone. ndek kene ae sing decent mek puskot tok.","1774445836338139434","","","in","Indonesia","0","0","0","https://x.com/adtmjl/status/1774445836338139434","266530328","adtmjl"
"1773806415758467455","Sun Mar 31 14:37:08 +0000 2024","1","@sexyladychick67 bahasa indonesia","1774445832533881128","","mermaid1princes","in","Recov 1/13/25 ","0","1","0","https://x.com/keneyautism/status/1774445832533881128","1596954040872550400","keneyautism"
"1774445825097392336","Sun Mar 31 14:37:06 +0000 2024","0","Play ini sambil tidur dijamin mimpi indah dipeluk jhope @Jhope_Indonesia https://t.co/4AAGnfwyND","1774445825097392336","https://pbs.twimg.com/media/GKAZEavboAADZyW.jpg","","in","Army only","0","1","0","https://x.com/Jimjimrie13/status/1774445825097392336","1722263069118857216","Jimjimrie13"
"1774441621452718340","Sun Mar 31 14:37:02 +0000 2024","0","@Jhope_Indonesia 26 lagu lagi kelarr TEAM OPOR #IndomyBattleStreaming #JHOPE #제이홉 #홉온스 #HOPE_ON_THE_STREET_VOL_1 https://t.co/usGiqo487A","1774445805178626235","https://pbs.twimg.com/media/GKAZDiVbsAAzFfT.jpg","Jhope_Indonesia","in","hopeworld","0","0","0","https://x.com/hopenesy/status/1774445805178626235","1473695491439345677","hopenesy"
"1774445803853201740","Sun Mar 31 14:37:01 +0000 2024","0","Main ke indonesia kalo money aku udah limited &amp; buat aku sendiri yaa","1774445803853201740","","","in","🇮🇩","0","0","0","https://x.com/vanillArztte/status/1774445803853201740","737791078267396096","vanillArztte"
"1774438389904982303","Sun Mar 31 14:36:53 +0000 2024","2","@JeblukAkun Sip Kak ","1774445769090834879","","JeblukAkun","tl","Jakarta, Indonesia","0","1","0","https://x.com/axdwin/status/1774445769090834879","1133771937061134336","axdwin"
"1774436683922178227","Sun Mar 31 14:36:46 +0000 2024","62","@undip @univ_indonesia kak usernamenya op bgt","1774445738606694792","","undip","in","","0","0","0","https://x.com/twistalgic/status/1774445738606694792","1466329883097722886","twistalgic"
